ticker,url
EFX,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EFX&action=getcompany
EQIX,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EQIX&action=getcompany
EQR,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EQR&action=getcompany
ESS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ESS&action=getcompany
EL,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EL&action=getcompany
ES,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NU&action=getcompany
RE,https://www.sec.gov/cgi-bin/browse-edgar?CIK=RE&action=getcompany
EXC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EXC&action=getcompany
EXPE,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EXPE&action=getcompany
EXPD,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EXPD&action=getcompany
ESRX,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ESRX&action=getcompany
EXR,https://www.sec.gov/cgi-bin/browse-edgar?CIK=EXR&action=getcompany
XOM,https://www.sec.gov/cgi-bin/browse-edgar?CIK=XOM&action=getcompany
FFIV,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FFIV&action=getcompany
FB,https://www.sec.gov/cgi-bin/browse-edgar?company=Facebook&owner=exclude&action=getcompany
FAST,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FAST&action=getcompany
FRT,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FRT&action=getcompany
FDX,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FDX&action=getcompany
FIS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FIS&action=getcompany
FITB,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FITB&action=getcompany
FE,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FE&action=getcompany
FISV,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FISV&action=getcompany
FLIR,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FLIR&action=getcompany
FLS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FLS&action=getcompany
FLR,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FLR&action=getcompany
FMC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FMC&action=getcompany
FL,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FL&action=getcompany
F,https://www.sec.gov/cgi-bin/browse-edgar?CIK=F&action=getcompany
FTV,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FTV&action=getcompany
FBHS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FBHS&action=getcompany
BEN,https://www.sec.gov/cgi-bin/browse-edgar?CIK=BEN&action=getcompany
FCX,https://www.sec.gov/cgi-bin/browse-edgar?CIK=FCX&action=getcompany
GPS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GPS&action=getcompany
GRMN,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GRMN&action=getcompany
IT,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IT&action=getcompany
GD,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GD&action=getcompany
GE,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GE&action=getcompany
GGP,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GGP&action=getcompany
GIS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GIS&action=getcompany
GM,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GM&action=getcompany
GPC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GPC&action=getcompany
GILD,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GILD&action=getcompany
GPN,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GPN&action=getcompany
GS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GS&action=getcompany
GT,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GT&action=getcompany
GWW,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GWW&action=getcompany
HAL,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HAL&action=getcompany
HBI,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HBI&action=getcompany
HOG,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HOG&action=getcompany
HRS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HRS&action=getcompany
HIG,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HIG&action=getcompany
HAS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HAS&action=getcompany
HCA,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HCA&action=getcompany
HCP,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HCP&action=getcompany
HP,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HP&action=getcompany
HSIC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HSIC&action=getcompany
HSY,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HSY&action=getcompany
HES,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HES&action=getcompany
HPE,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HPE&action=getcompany
HLT,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HLT&action=getcompany
HOLX,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HOLX&action=getcompany
HD,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HD&action=getcompany
HON,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HON&action=getcompany
HRL,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HRL&action=getcompany
HST,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HST&action=getcompany
HPQ,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HPQ&action=getcompany
HUM,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HUM&action=getcompany
HBAN,https://www.sec.gov/cgi-bin/browse-edgar?CIK=HBAN&action=getcompany
IDXX,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IDXX&action=getcompany
INFO,https://www.sec.gov/cgi-bin/browse-edgar?CIK=INFO&action=getcompany
ITW,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ITW&action=getcompany
ILMN,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ILMN&action=getcompany
IR,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IR&action=getcompany
INTC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=INTC&action=getcompany
ICE,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ICE&action=getcompany
IBM,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IBM&action=getcompany
INCY,https://www.sec.gov/cgi-bin/browse-edgar?CIK=INCY&action=getcompany
IP,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IP&action=getcompany
IPG,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IPG&action=getcompany
IFF,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IFF&action=getcompany
INTU,https://www.sec.gov/cgi-bin/browse-edgar?CIK=INTU&action=getcompany
ISRG,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ISRG&action=getcompany
IVZ,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IVZ&action=getcompany
IQV,https://www.sec.gov/cgi-bin/browse-edgar?CIK=Q&action=getcompany
IRM,https://www.sec.gov/cgi-bin/browse-edgar?CIK=IRM&action=getcompany
JEC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=JEC&action=getcompany
JBHT,https://www.sec.gov/cgi-bin/browse-edgar?CIK=JBHT&action=getcompany
SJM,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SJM&action=getcompany
JNJ,https://www.sec.gov/cgi-bin/browse-edgar?CIK=JNJ&action=getcompany
JCI,https://www.sec.gov/cgi-bin/browse-edgar?CIK=JCI&action=getcompany
JPM,https://www.sec.gov/cgi-bin/browse-edgar?CIK=JPM&action=getcompany
JNPR,https://www.sec.gov/cgi-bin/browse-edgar?CIK=JNPR&action=getcompany
KSU,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KSU&action=getcompany
K,https://www.sec.gov/cgi-bin/browse-edgar?CIK=K&action=getcompany
KEY,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KEY&action=getcompany
KMB,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KMB&action=getcompany
KIM,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KIM&action=getcompany
KMI,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KMI&action=getcompany
KLAC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KLAC&action=getcompany
KSS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KSS&action=getcompany
KHC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KHC&owner=exclude&action=getcompany
KR,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KR&action=getcompany
LB,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LB&action=getcompany
LLL,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LLL&action=getcompany
LH,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LH&action=getcompany
LRCX,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LRCX&action=getcompany
LEG,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LEG&action=getcompany
LEN,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LEN&action=getcompany
LUK,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LUK&action=getcompany
LLY,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LLY&action=getcompany
LNC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LNC&action=getcompany
LKQ,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LKQ&action=getcompany
LMT,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LMT&action=getcompany
L,https://www.sec.gov/cgi-bin/browse-edgar?CIK=L&action=getcompany
LOW,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LOW&action=getcompany
LYB,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LYB&action=getcompany
MTB,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MTB&action=getcompany
MAC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MAC&action=getcompany
M,https://www.sec.gov/cgi-bin/browse-edgar?CIK=M&action=getcompany
MRO,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MRO&action=getcompany
MPC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MPC&action=getcompany
MAR,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MAR&action=getcompany
MMC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MMC&action=getcompany
MLM,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MLM&action=getcompany
MAS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MAS&action=getcompany
MA,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MA&action=getcompany
MAT,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MAT&action=getcompany
MKC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MKC&action=getcompany
MCD,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MCD&action=getcompany
MCK,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MCK&action=getcompany
MDT,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MDT&action=getcompany
MRK,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MRK&action=getcompany
MET,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MET&action=getcompany
MTD,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MTD&action=getcompany
MGM,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MGM&action=getcompany
KORS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=KORS&action=getcompany
MCHP,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MCHP&action=getcompany
MU,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MU&action=getcompany
MSFT,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MSFT&action=getcompany
MAA,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MAA&action=getcompany
MHK,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MHK&action=getcompany
TAP,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TAP&action=getcompany
MDLZ,https://www.sec.gov/cgi-bin/browse-edgar?company=Mondelez&action=getcompany
MON,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MON&action=getcompany
MNST,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MNST&action=getcompany
MCO,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MCO&action=getcompany
MS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MS&action=getcompany
